"活動ID","建立日期","平台","頻道名稱","活動標題","貼文則數","貼文類型","貼文連結","Meta post ID","留言數","留言加購","銷售額NT$"
"640279","2025-11-14","Instagram","tzgems1111","POST 2025/11/14  彩色尖晶石","1","Reel","https://www.instagram.com/reel/DRCM6CKD5Yj/","17949117464920261","59","0","0"
"640278","2025-11-14","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/11/14 彩色尖晶石","2","Reel","https://www.facebook.com/reel/868638858991628/
https://www.facebook.com/reel/2249298328925664/","1627804834169159_1309449391195006
1627804834169159_1336973145109297","174","0","0"
"639633","2025-11-12","Instagram","tzgems1111","POST 2025/11/12 祖母綠系列","1","Reel","https://www.instagram.com/reel/DQ86CpJD4B0/","17909677848253142","39","0","0"
"639632","2025-11-12","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/11/12 祖母綠系列","2","Reel","https://www.facebook.com/reel/648105521589478/
https://www.facebook.com/reel/1361785871773689/","1627804834169159_1307702971369648
1627804834169159_1336971835109428","147","0","0"
"639630","2025-11-12","Facebook","","POST 2025/11/12 祖母綠系列","0","","","","0","0","0"
"639045","2025-11-10","Instagram","tzgems1111","POST 2025/11/10 彩色藍寶","1","Reel","https://www.instagram.com/reel/DQ33lgBD4OF/","17977166594786107","1","0","0"
"639043","2025-11-10","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/11/10 彩色藍寶","1","Reel","https://www.facebook.com/reel/1704542483550033/","1627804834169159_1305871214886157","5","0","0"
"638284","2025-11-07","Instagram","tzgems1111","POST 2025/11/07印章戒指","1","Reel","https://www.instagram.com/reel/DQwJEfFD7hy/","18074326136192148","10","0","0"
"638283","2025-11-07","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/11/07 印章戒指","2","Reel","https://www.facebook.com/reel/791575127115770/
https://www.facebook.com/reel/4315671388704417/","1627804834169159_1303061885167090
1627804834169159_1336970235109588","4","0","0"
"638282","2025-11-07","Instagram","tzgems1111","POST 2025/11/07粉紅碧璽","1","Reel","https://www.instagram.com/reel/DQwHXyij8yN/","18059152772209199","127","0","0"
"638281","2025-11-07","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/11/07粉紅碧璽","2","Reel","https://www.facebook.com/reel/1530926238250704/
https://www.facebook.com/reel/1643326596634718/","1627804834169159_1303052558501356
1627804834169159_1336968305109781","194","0","0"
