date,video_id,platform,plays,reach,comments,likes,shares,score
2026-05-09,2057824875115921,fb,3639,3122,2,148,20,46
2026-05-09,3030056877184386,fb,1250,1093,1,16,0,0
2026-05-10,2050095295927457,fb,3138,3131,2,59,0,24
2026-05-10,821990560946949,fb,7379,7400,76,133,2,48
2026-05-10,26541072558894159,fb,3570,3538,0,83,0,17
2026-05-10,2039704963556171,fb,9216,9385,5,207,3,52
2026-05-10,1671239750567460,fb,3659,3684,0,52,3,27
2026-05-10,796828263186023,fb,8638,8645,129,122,0,52
2026-05-10,974792628330298,fb,15738,15999,2,406,7,54
2026-05-10,2248656868999741,fb,6996,7093,34,314,6,57
2026-05-10,17921707305333986,ig,869,854,0,9,0,0
2026-05-10,18311920003278841,ig,2182,2149,1,51,8,39
2026-05-10,18083574995525867,ig,1467,1440,20,29,2,0
2026-05-10,18062242379415014,ig,4408,4374,0,99,2,28
2026-05-10,17965963686060929,ig,4505,4532,0,101,24,45
2026-05-10,18151543057415264,ig,3586,3324,15,37,4,24
2026-05-10,17998822607929829,ig,1522,1547,23,35,1,40
2026-05-10,17982421521003920,ig,3057,3045,0,57,3,27
2026-05-10,2294434614419419,fb,14556,14699,4,468,29,66
2026-05-10,1480411827114437,fb,3355,3418,0,57,0,16
2026-05-10,17884106586513278,ig,2539,2421,1,87,22,42
2026-05-10,2671660139876729,fb,48334,61481,29,1157,3,64
2026-05-10,936590619013678,fb,5182,5313,0,95,11,42
2026-05-10,1320887196600099,fb,4790,5237,25,119,1,27
2026-05-10,18076028567534301,ig,12360,12205,5,462,15,64
2026-05-10,18077402978280199,ig,1132,1133,0,24,4,0
2026-05-10,18217336387316574,ig,1981,1993,33,32,2,46
2026-05-10,2199022047515003,fb,6455,6729,2,174,0,38
2026-05-10,1864229470939941,fb,5601,6169,4,114,0,41
2026-05-10,809802795138517,fb,5054,5366,0,134,5,24
2026-05-10,1479118220517328,fb,15086,15135,101,331,15,51
2026-05-10,2445443019237006,fb,4575,4754,0,97,4,32
2026-05-10,1327100795969723,fb,2653,2796,1,57,1,10
2026-05-10,770948119286458,fb,10457,10712,5,337,2,50
2026-05-10,1218409573702798,fb,4583,4597,2,73,1,16
2026-05-10,946358478014051,fb,7158,7512,83,88,0,49
2026-05-10,992409379972726,fb,2439,2424,2,16,0,8
2026-05-10,1685331449569077,fb,260819,308306,59,3678,240,72
2026-05-10,1297979515814750,fb,18511,19042,410,304,5,71
2026-05-10,1486532986230905,fb,1924,1972,0,18,0,11
2026-05-10,939633498894840,fb,7087,7496,75,144,1,47
2026-05-10,982031720841319,fb,8418,8468,75,165,5,48
2026-05-10,1950140099205338,fb,1452,1495,0,31,1,0
2026-05-10,1461501238810777,fb,8312,8680,145,138,0,60
2026-05-10,1532951375210753,fb,1058,1098,0,17,2,0
2026-05-10,935996825866036,fb,5319,5410,6,181,6,28
2026-05-10,1937578960215234,fb,5489,5147,0,81,4,36
2026-05-10,1519952812822608,fb,3302,3360,0,69,0,16
2026-05-10,1479065100557230,fb,1766,1782,1,39,0,21
2026-05-10,1495912212189973,fb,2690,2765,3,41,0,9
2026-05-10,789059620737242,fb,1275,1282,0,9,0,0
2026-05-10,2388503981575279,fb,3679,3630,1,66,0,23
2026-05-10,2469642576827530,fb,4763,4859,3,147,2,38
2026-05-10,2022651559131149,fb,8475,8935,107,140,1,54
2026-05-10,969440372335105,fb,6698,7304,156,107,6,67
2026-05-10,961299933495990,fb,15453,16701,1,228,3,47
2026-05-10,2508773376210204,fb,2762,2875,0,52,0,14
2026-05-10,957598923668086,fb,4500,4806,0,76,2,26
2026-05-10,1696584428367674,fb,1959,2079,0,15,0,11
2026-05-10,2395499794207288,fb,7542,8375,3,274,5,51
2026-05-10,26392497683756040,fb,6211,6207,0,152,6,44
2026-05-10,26454313877596632,fb,8634,9202,4,152,2,48
2026-05-10,3858337047796068,fb,3790,3918,0,50,6,32
2026-05-10,1298069738321853,fb,5106,5147,3,74,1,37
2026-05-10,1227153256163261,fb,7470,7792,166,82,1,62
